job_0_ablation_0.00_povs_post,job_3_ablation_0.68_povs_post,job_4_ablation_0.90_povs_post,job_2_ablation_0.45_povs_post,job_1_ablation_0.23_povs_post
60.873,67.049,70.43,65.487,65.668
12.472,13.742,13.484,10.066,12.774
4.644,4.43,6.098,3.363,4.817
3.08,3.306,4.037,2.968,2.416
2.439,2.88,2.709,2.459,1.817
2.049,1.921,1.423,2.091,1.462
1.666,0.967,1.112,1.936,1.244
1.503,0.816,0.595,1.312,0.853
1.052,0.599,0.112,1.179,0.831
0.946,0.561,0.0,1.052,0.692
0.755,0.517,0.0,0.697,0.522
0.703,0.419,0.0,0.669,0.486
0.535,0.37,0.0,0.653,0.449
0.521,0.346,0.0,0.518,0.421
0.502,0.301,0.0,0.468,0.377
0.447,0.282,0.0,0.423,0.352
0.382,0.252,0.0,0.409,0.339
0.306,0.22,0.0,0.358,0.294
0.288,0.196,0.0,0.315,0.27
0.281,0.163,0.0,0.305,0.262
0.242,0.145,0.0,0.289,0.246
0.235,0.136,0.0,0.277,0.22
0.228,0.128,0.0,0.262,0.216
0.218,0.092,0.0,0.226,0.205
0.208,0.078,0.0,0.219,0.195
0.194,0.057,0.0,0.189,0.19
0.184,0.026,0.0,0.182,0.169
0.174,0.0,0.0,0.156,0.168
0.163,0.0,0.0,0.137,0.156
0.152,0.0,0.0,0.132,0.146
0.15,0.0,0.0,0.118,0.14
0.144,0.0,0.0,0.104,0.13
0.137,0.0,0.0,0.102,0.117
0.126,0.0,0.0,0.093,0.104
0.123,0.0,0.0,0.085,0.101
0.114,0.0,0.0,0.082,0.096
0.108,0.0,0.0,0.072,0.09
0.097,0.0,0.0,0.069,0.082
0.093,0.0,0.0,0.066,0.078
0.087,0.0,0.0,0.063,0.074
0.085,0.0,0.0,0.055,0.07
0.081,0.0,0.0,0.048,0.067
0.075,0.0,0.0,0.044,0.063
0.072,0.0,0.0,0.044,0.053
0.066,0.0,0.0,0.036,0.051
0.063,0.0,0.0,0.033,0.048
0.06,0.0,0.0,0.028,0.047
0.056,0.0,0.0,0.025,0.042
0.053,0.0,0.0,0.023,0.04
0.051,0.0,0.0,0.013,0.035
0.05,0.0,0.0,0.0,0.031
0.046,0.0,0.0,0.0,0.028
0.043,0.0,0.0,0.0,0.025
0.042,0.0,0.0,0.0,0.025
0.039,0.0,0.0,0.0,0.02
0.037,0.0,0.0,0.0,0.019
0.035,0.0,0.0,0.0,0.016
0.034,0.0,0.0,0.0,0.012
0.033,0.0,0.0,0.0,0.012
0.029,0.0,0.0,0.0,0.008
0.027,0.0,0.0,0.0,0.008
0.026,0.0,0.0,0.0,0.005
0.024,0.0,0.0,0.0,0.004
0.024,0.0,0.0,0.0,0.003
0.021,0.0,0.0,0.0,0.0
0.019,0.0,0.0,0.0,0.0
0.018,0.0,0.0,0.0,0.0
0.017,0.0,0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0
0.014,0.0,0.0,0.0,0.0
0.013,0.0,0.0,0.0,0.0
0.012,0.0,0.0,0.0,0.0
0.011,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0
0.008,0.0,0.0,0.0,0.0
0.007,0.0,0.0,0.0,0.0
0.007,0.0,0.0,0.0,0.0
0.006,0.0,0.0,0.0,0.0
0.006,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0
0.004,0.0,0.0,0.0,0.0
0.002,0.0,0.0,0.0,0.0
0.002,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
